date,symbol,name,currency,price,eps,pe_now,pe_mean,pe_median,pe_std,pe_sigma,price_low,price_fair,price_high,group,forward_pe,pb,pcf,peg,dividend_yield,ev_ebitda,wk52_low,wk52_high,wk52_pos,iv,iv_days,iv_expiry,iv_status,iv_rank,ivr_days
2026-09-04,PANW,"Palo Alto Networks, Inc.",USD,331.94,1.15,288.6435,263.872,278.0826,51.6612,0.4795,244.0424,303.4528,362.8631,高估~均值,67.8446,9.7538,59.4182,4.01,,143.9,139.57,398.88,74.1853,0.4948,29.0,2026-10-02,ok,46.1714,2
2026-09-04,PLTR,Palantir Technologies Inc.,USD,182.53,1.17,156.0085,122.2092,115.7222,17.6414,1.9159,122.3443,142.9847,163.6251,顯著高估,78.8725,44.8697,123.5039,1.73,,149.527,106.37,207.52,75.2941,0.4883,29.0,2026-10-02,ok,23.895,2
2026-09-04,QQQ,"Invesco QQQ Trust, Series 1",USD,717.67,23.3862,30.6877,30.4326,30.5342,0.8234,0.3098,692.4482,711.704,730.9598,高估~均值,,2.0059,,,0.44,,555.6,748.65,83.9523,0.177,29.0,2026-10-02,ok,19.2863,2
2026-09-04,RKLB,Rocket Lab Corporation,USD,63.81,-0.27,,,,,,,,,無法判讀,1435.8685,10.9301,,,,-236.428,37.57,151.0,23.1332,0.657,29.0,2026-10-02,ok,13.3112,3
2026-09-04,SNDK,Sandisk Corporation,USD,1554.99,73.79,21.0732,21.4018,21.1523,3.9082,-0.0841,1290.8549,1579.2391,1867.6234,均值~低估,5.8741,14.7238,19.5082,,,17.666,55.55,2354.39,65.2259,0.6814,29.0,2026-10-02,ok,0.0,2
2026-09-04,SOXX,iShares PHLX SOX Semiconductor ,USD,502.2,12.4661,40.2853,43.5644,42.9778,3.6046,-0.9097,498.1412,543.0768,588.0123,均值~低估,,1.1842,,,0.29,,238.75,655.95,63.1472,0.3926,29.0,2026-10-02,ok,33.7923,2
2026-09-04,SPCX,Space Exploration Technologies ,USD,149.74,-1.1,,,,,,,,,無法判讀,93.307,15.5075,116.4084,,,618.843,104.83,225.64,37.1741,0.5023,29.0,2026-10-02,ok,3.8367,2
2026-09-04,SPOT,Spotify Technology S.A.,USD,560.11,18.46,30.3418,26.2807,26.3231,1.9191,2.1161,449.7156,485.1426,520.5695,顯著高估,31.1485,11.7564,34.507,1.54,,40.431,405.0,745.0,45.6206,0.3865,29.0,2026-10-02,ok,24.3839,2
2026-09-04,SPY,State Street SPDR S&P 500 ETF T,USD,773.17,29.685,26.0458,25.2233,25.1716,0.5218,1.5764,733.2656,748.7542,764.2429,顯著高估,,1.8013,,,1.01,,629.28,779.37,95.8691,0.1162,29.0,2026-10-02,ok,4.1503,2
2026-09-04,TRV,"The Travelers Companies, Inc.",USD,374.34,37.2,10.0629,9.0184,8.9583,0.9023,1.1576,301.9186,335.4841,369.0497,顯著高估,12.3918,2.3576,7.0813,2.36,1.37,7.002,252.26,398.7,83.3652,0.278,43.0,2026-10-16,ok,73.7429,2
2026-09-04,TSLA,"Tesla, Inc.",USD,376.365,1.07,351.743,356.3573,365.3365,36.4469,-0.1266,342.3041,381.3023,420.3005,均值~低估,174.3577,17.1114,79.5543,4.26,,128.614,297.38,498.83,39.2082,0.4485,29.0,2026-10-02,ok,26.5849,2
2026-09-04,TSM,Taiwan Semiconductor Manufactur,USD,417.01,13.46,30.9814,31.1586,31.052,1.325,-0.1337,401.5598,419.395,437.2302,均值~低估,19.0754,85.8388,0.8209,0.78,0.98,4.683,230.3,479.0,75.0744,0.3137,29.0,2026-10-02,ok,5.6186,2
2026-09-04,UBER,"Uber Technologies, Inc.",USD,75.96,4.56,16.6579,16.1231,16.1864,0.6472,0.8263,70.5699,73.5213,76.4728,高估~均值,17.3381,5.6729,14.8842,6.38,,22.287,65.41,101.99,28.8409,0.3821,29.0,2026-10-02,ok,45.0259,2
2026-09-04,VRT,"Vertiv Holdings, LLC",USD,268.83,4.42,60.8213,68.5117,68.8394,7.3737,-1.0429,270.2296,302.8216,335.4135,顯著低估,29.5457,21.7518,30.8558,0.86,0.1,36.977,118.7,379.935,57.4693,0.5271,29.0,2026-10-02,ok,12.3525,2
2026-09-04,XLI,State Street Industrial Select ,USD,174.56,6.0317,28.9406,29.5507,29.6336,0.8081,-0.7549,173.3653,178.2397,183.114,均值~低估,,1.7743,,,1.15,,147.14,188.19,66.7966,0.3132,29.0,2026-10-02,ok,98.7034,2
2026-09-04,XLV,State Street Health Care Select,USD,173.26,5.6107,30.88,28.1437,28.3991,1.7119,1.5984,148.3018,157.9069,167.512,顯著高估,,1.3615,,,1.56,,133.73,176.6,92.209,0.2636,29.0,2026-10-02,ok,100.0,2
